week_start_date,product_line,actual_revenue,plan_revenue
2026-03-30,Enterprise,202384.54,204383.3
2026-03-30,SMB,106117.26,102868.78
2026-03-30,API,52058.16,48376.71
2026-03-30,Consulting,32028.53,30626.74
2026-04-06,Enterprise,192509.4,194049.82
2026-04-06,SMB,105724.05,98966.38
2026-04-06,API,53187.27,50575.46
2026-04-06,Consulting,28560.87,29864.19
2026-04-13,Enterprise,186854.56,200873.36
2026-04-13,SMB,104782.9,102621.05
2026-04-13,API,49844.53,51032.35
2026-04-13,Consulting,33087.71,31129.68
2026-04-20,Enterprise,159474.23,204454.14
2026-04-20,SMB,97037.65,97557.11
2026-04-20,API,45510.47,48175.22
2026-04-20,Consulting,31631.38,30439.32
2026-04-27,Enterprise,201698.11,207480.16
2026-04-27,SMB,98481.62,98963.68
2026-04-27,API,45870.81,48757.89
2026-04-27,Consulting,35630.61,29941.69
2026-05-04,Enterprise,200945.88,195630.55
2026-05-04,SMB,104793.3,99497.22
2026-05-04,API,49275.94,50801.06
2026-05-04,Consulting,37572.86,30797.42
2026-05-11,Enterprise,201187.75,204876.23
2026-05-11,SMB,116001.82,98306.62
2026-05-11,API,47805.93,50729.98
2026-05-11,Consulting,26971.89,29279.78
2026-05-18,Enterprise,209987.1,204590.79
2026-05-18,SMB,106206.71,101641.32
2026-05-18,API,50383.79,49835.66
2026-05-18,Consulting,27338.57,29135.51
2026-05-25,Enterprise,201757.07,202694.45
2026-05-25,SMB,104784.0,100521.89
2026-05-25,API,50972.13,50538.87
2026-05-25,Consulting,29196.6,30142.1
2026-06-01,Enterprise,190544.05,192493.09
2026-06-01,SMB,96286.55,97716.68
2026-06-01,API,43701.57,51413.61
2026-06-01,Consulting,27286.43,29361.45
2026-06-08,Enterprise,190012.66,196502.14
2026-06-08,SMB,102219.67,101295.33
2026-06-08,API,52479.96,51135.59
2026-06-08,Consulting,31271.34,29775.33
2026-06-15,Enterprise,186043.99,194671.57
2026-06-15,SMB,94463.97,96720.38
2026-06-15,API,47845.54,49847.51
2026-06-15,Consulting,28789.49,30002.51
